
JAGDBARKEIT|lemma idGJ00073.GJ00073 | f.|gram idGJ00073.GJ00073 |
JAGDBAUER|lemma idGJ00074.GJ00074 | m.|gram idGJ00074.GJ00074 |
JAGDBEDIENTER|lemma idGJ00075.GJ00075 | m.|gram idGJ00075.GJ00075 |
JAGDBEFUGNIS|lemma idGJ00076.GJ00076 | f.|gram idGJ00076.GJ00076 |
JAGDBEGIERDE|lemma idGJ00077.GJ00077 | f.|gram idGJ00077.GJ00077 |
JAGDBERECHTIGT|lemma idGJ00078.GJ00078 | adj.|gram idGJ00078.GJ00078 |
JAGDBERECHTIGUNG|lemma idGJ00079.GJ00079 | f.|gram idGJ00079.GJ00079 |
JAGDBEZIRK|lemma idGJ00080.GJ00080 | m.|gram idGJ00080.GJ00080 |
JAGDBIRNE|lemma idGJ00081.GJ00081 | f.|gram idGJ00081.GJ00081 |
JAGDBISSEN|lemma idGJ00082.GJ00082 | m.|gram idGJ00082.GJ00082 |
JAGDBOLZ|lemma idGJ00083.GJ00083 | m.|gram idGJ00083.GJ00083 |
JAGDBOOT|lemma idGJ00084.GJ00084 | n.|gram idGJ00084.GJ00084 |
JAGDBRÜCKE|lemma idGJ00085.GJ00085 | f.|gram idGJ00085.GJ00085 |
JAGDDIENST|lemma idGJ00086.GJ00086 |
JAGDEIFER|lemma idGJ00087.GJ00087 | m.|gram idGJ00087.GJ00087 |
JAGDENFEUER|lemma idGJ00088.GJ00088 | n.|gram idGJ00088.GJ00088 |
JAGDENKUNDIG|lemma idGJ00089.GJ00089 | adj.|gram idGJ00089.GJ00089 |
JAGDENTEUFEL|lemma idGJ00090.GJ00090 | m.|gram idGJ00090.GJ00090 |
JAGDERFAHREN|lemma idGJ00091.GJ00091 | part.|gram idGJ00091.GJ00091 |
JAGDERGEBNIS|lemma idGJ00092.GJ00092 | n.|gram idGJ00092.GJ00092 |
JAGDERGETZLICHKEIT|lemma idGJ00093.GJ00093 | f.|gram idGJ00093.GJ00093 |
JAGDFALKE|lemma idGJ00094.GJ00094 |
JAGDFISCH|lemma idGJ00095.GJ00095 | m.|gram idGJ00095.GJ00095 |
JAGDFLAKE|lemma idGJ00096.GJ00096 | f.|gram idGJ00096.GJ00096 |
JAGDFLINTE|lemma idGJ00097.GJ00097 | f.|gram idGJ00097.GJ00097 |
JAGDFLUR|lemma idGJ00098.GJ00098 | f.|gram idGJ00098.GJ00098 |
